HomeTeam|AwayTeam|RollingAvg_Home_HS|RollingAvg_Home_HST|RollingAvg_Home_HF|RollingAvg_Home_HC|RollingAvg_Away_AS|RollingAvg_Away_AST|RollingAvg_Away_AF|RollingAvg_Away_AC|HomeTeam_Form|AwayTeam_Form|B365H|B365D|B365A|FTR
Genoa|Inter|10.0|6.0|15.0|1.0|14.0|9.0|14.0|4.0|0.0|0.0|6.5|4.0|1.53|D
Parma|Fiorentina|13.0|5.0|15.0|4.0|14.0|7.0|9.0|9.0|0.0|0.0|3.5|3.2|2.2|D
Empoli|Monza|9.0|1.0|16.0|7.0|4.0|1.0|19.0|3.0|0.0|0.0|2.5|3.2|3.0|D
Milan|Torino|20.0|6.0|10.0|9.0|6.0|3.0|7.0|2.0|0.0|0.0|1.62|3.8|5.75|D
Bologna|Udinese|22.0|7.0|15.0|7.0|4.0|2.0|13.0|5.0|0.0|0.0|1.91|3.4|4.33|D
Verona|Napoli|8.0|5.0|15.0|1.0|15.0|5.0|13.0|5.0|0.0|0.0|4.75|3.6|1.75|H
Cagliari|Roma|12.0|2.0|15.0|5.0|13.0|3.0|7.0|3.0|0.0|0.0|4.1|3.4|1.95|D
Lazio|Venezia|13.0|6.0|14.0|6.0|11.0|3.0|11.0|3.0|0.0|0.0|1.48|4.1|7.5|H
Lecce|Atalanta|19.0|5.0|10.0|5.0|10.0|6.0|24.0|3.0|0.0|0.0|4.2|3.7|1.85|A
Juventus|Como|12.0|9.0|12.0|3.0|1.0|1.0|6.0|0.0|0.0|0.0|1.33|5.0|9.5|H
Parma|Milan|10.5|5.0|12.0|3.5|17.0|5.0|13.0|9.0|0.2|0.2|4.75|3.9|1.7|H
Udinese|Lazio|8.0|3.0|15.0|4.0|17.0|5.0|10.0|13.0|0.2|0.6|3.3|3.1|2.35|H
Inter|Lecce|11.0|3.0|9.0|10.0|10.0|4.0|12.0|6.0|0.2|0.0|1.2|7.0|13.0|H
Monza|Genoa|9.0|2.0|6.0|8.0|11.0|1.0|17.0|3.0|0.2|0.2|2.6|3.1|2.88|A
Fiorentina|Venezia|12.0|8.0|13.0|7.0|9.0|3.5|15.0|3.0|0.2|0.0|1.42|4.75|7.0|D
Torino|Atalanta|13.0|6.0|8.0|4.0|17.0|7.0|18.5|4.5|0.2|0.6|3.2|3.1|2.38|H
Napoli|Bologna|16.0|5.0|11.0|7.0|9.0|2.0|17.0|5.0|0.0|0.2|1.9|3.5|4.1|H
Roma|Empoli|17.0|6.0|10.0|8.0|10.0|3.0|9.0|5.0|0.2|0.2|1.5|4.33|6.5|A
Cagliari|Como|11.5|3.5|13.5|5.0|7.0|2.5|8.0|3.0|0.2|0.0|2.1|3.4|3.4|D
Verona|Juventus|7.5|3.0|11.5|2.5|7.0|5.0|8.0|1.0|0.6|0.6|5.25|3.75|1.67|A
Venezia|Torino|13.0|4.0|7.0|3.0|9.0|4.5|11.0|2.5|0.2|0.8|3.4|3.3|2.2|A
Inter|Atalanta|12.0|4.0|7.5|6.5|15.0|5.0|17.333333333333332|4.333333333333333|0.8|0.6|1.57|4.33|5.5|H
Bologna|Empoli|18.0|5.0|15.0|6.5|7.0|2.5|13.5|4.0|0.2|0.8|1.62|3.75|6.0|D
Lecce|Cagliari|18.0|4.5|10.0|6.0|21.0|2.0|13.0|10.0|0.0|0.4|2.25|3.2|3.4|H
Lazio|Milan|10.0|5.5|13.0|5.5|13.5|4.5|11.0|8.0|0.6|0.2|2.9|3.4|2.4|D
Napoli|Parma|22.5|6.0|11.5|6.5|13.0|2.0|6.0|4.0|0.6|0.8|1.48|4.33|7.0|H
Fiorentina|Monza|13.5|6.5|12.0|6.5|4.0|2.0|20.0|1.5|0.4|0.2|1.67|3.9|5.0|D
Genoa|Verona|10.5|3.5|11.5|2.0|10.0|3.0|16.0|1.0|0.8|0.6|2.0|3.3|4.0|A
Juventus|Roma|10.0|5.0|11.5|4.5|10.0|2.0|9.5|3.5|1.2|0.2|1.75|3.6|5.0|D
Udinese|Como|9.0|3.0|15.5|4.0|11.666666666666666|3.0|8.333333333333334|4.0|0.8|0.2|2.05|3.4|3.75|H
Como|Bologna|14.0|4.0|17.0|4.0|11.5|3.0|14.5|4.0|0.2|0.4|3.0|3.25|2.45|D
Empoli|Juventus|8.5|2.0|13.5|5.5|11.0|4.0|9.0|4.5|1.0|1.4|5.25|3.6|1.7|D
Milan|Venezia|16.0|7.0|11.0|7.5|8.0|2.6666666666666665|14.0|2.3333333333333335|0.4|0.2|1.3|5.75|9.0|H
Genoa|Roma|13.666666666666666|5.0|10.666666666666666|2.6666666666666665|12.0|3.3333333333333335|10.333333333333334|4.0|0.8|0.4|3.25|3.3|2.25|D
Atalanta|Fiorentina|13.0|7.0|16.0|4.0|13.5|6.0|12.0|5.5|0.6|0.6|1.8|3.6|4.5|H
Torino|Lecce|9.0|3.0|10.5|3.0|15.0|5.0|12.5|6.5|1.4|0.6|1.8|3.5|4.75|D
Cagliari|Napoli|13.0|3.3333333333333335|16.333333333333332|5.666666666666667|13.5|5.0|12.0|4.5|0.4|1.2|4.33|3.75|1.8|A
Monza|Inter|7.0|2.0|8.5|4.5|15.0|5.5|16.5|6.0|0.4|1.4|8.0|4.75|1.4|D
Parma|Udinese|10.0|4.333333333333333|10.666666666666666|4.0|11.0|4.0|15.5|5.5|0.8|1.4|2.25|3.4|3.2|A
Lazio|Verona|11.333333333333334|6.0|13.0|6.666666666666667|8.5|2.5|13.0|3.5|0.8|1.2|1.62|3.8|6.0|H
Cagliari|Empoli|15.0|3.0|16.0|6.75|7.666666666666667|3.0|16.0|4.0|0.4|1.2|2.15|3.4|3.4|A
Verona|Torino|7.666666666666667|2.6666666666666665|11.0|3.3333333333333335|11.333333333333334|4.0|10.0|3.6666666666666665|1.2|1.6|2.7|3.0|2.8|A
Venezia|Genoa|12.5|4.0|8.0|3.0|10.0|0.5|14.5|3.5|0.2|1.0|3.25|3.2|2.35|H
Juventus|Napoli|9.666666666666666|3.6666666666666665|11.0|4.333333333333333|11.666666666666666|3.6666666666666665|12.333333333333334|4.0|1.6|1.8|2.2|3.4|3.3|D
Lecce|Parma|16.666666666666668|4.0|10.666666666666666|4.666666666666667|18.5|6.0|8.5|8.0|0.8|0.8|2.2|3.5|3.25|D
