iter	Passed	Remaining
0	4	2490
1	12	3072
2	18	3020
3	20	2546
4	27	2674
5	30	2526
6	32	2303
7	34	2123
8	36	1974
9	38	1894
10	39	1777
11	42	1709
12	44	1653
13	46	1597
14	48	1552
15	50	1526
16	52	1505
17	55	1493
18	57	1462
19	59	1433
20	63	1437
21	65	1428
22	67	1406
23	70	1397
24	92	1755
25	94	1726
26	97	1700
27	99	1679
28	102	1658
29	103	1626
30	108	1639
31	110	1623
32	113	1602
33	114	1574
34	117	1558
35	119	1538
36	121	1523
37	124	1518
38	127	1507
39	129	1491
40	131	1473
41	134	1465
42	136	1455
43	138	1438
44	140	1424
45	143	1412
46	145	1405
47	148	1399
48	150	1387
49	153	1380
50	155	1366
51	159	1377
52	165	1392
53	170	1405
54	176	1425
55	180	1430
56	185	1444
57	187	1430
58	191	1433
59	194	1425
60	196	1416
61	198	1405
62	201	1395
63	203	1383
64	208	1392
65	211	1393
66	214	1386
67	223	1418
68	229	1432
69	236	1450
70	238	1440
71	244	1453
72	248	1456
73	256	1478
74	260	1478
75	262	1465
76	268	1476
77	275	1487
78	283	1511
79	290	1524
80	296	1534
81	298	1522
82	300	1511
83	302	1497
84	305	1489
85	308	1484
86	310	1475
87	315	1476
88	319	1473
89	322	1467
90	328	1476
91	331	1469
92	338	1479
93	342	1480
94	344	1468
95	346	1456
96	348	1446
97	349	1434
98	355	1438
99	359	1436
100	360	1424
101	362	1413
102	363	1401
103	365	1390
104	366	1379
105	368	1370
106	370	1361
107	372	1350
108	373	1338
109	375	1329
110	378	1327
111	380	1318
112	382	1311
113	383	1299
114	385	1291
115	388	1284
116	390	1276
117	392	1269
118	394	1262
119	396	1254
120	398	1248
121	400	1240
122	402	1234
123	404	1227
124	407	1222
125	409	1215
126	411	1208
127	413	1200
128	415	1194
129	417	1187
130	418	1180
131	420	1173
132	422	1166
133	424	1158
134	425	1151
135	427	1144
136	428	1136
137	430	1130
138	433	1124
139	434	1118
140	436	1112
141	438	1106
142	440	1100
143	442	1094
144	444	1089
145	447	1084
146	448	1078
147	450	1072
148	453	1068
149	456	1065
150	458	1058
151	459	1052
152	461	1045
153	462	1040
154	464	1034
155	466	1028
156	468	1023
157	469	1017
158	472	1012
159	473	1006
160	475	1001
161	478	999
162	481	995
163	484	992
164	487	989
165	489	985
166	493	983
167	495	978
168	496	973
169	498	968
170	500	962
171	502	957
172	503	952
173	505	947
174	507	942
175	509	937
176	511	933
177	513	928
178	515	924
179	517	919
180	518	914
181	521	910
182	522	905
183	524	901
184	526	896
185	528	892
186	530	887
187	531	882
188	533	878
189	535	874
190	537	869
191	539	864
192	540	860
193	543	856
194	545	852
195	547	849
196	549	844
197	552	843
198	556	841
199	559	838
200	560	834
201	563	831
202	565	827
203	567	823
204	568	818
205	570	814
206	572	810
207	574	807
208	576	802
209	578	798
210	580	794
211	582	791
212	585	788
213	588	786
214	590	783
215	593	780
216	595	777
217	599	774
218	601	771
219	604	769
220	607	767
221	610	764
222	612	760
223	615	757
224	618	755
225	620	752
226	622	748
227	624	744
228	626	740
229	629	739
230	633	737
231	638	737
232	640	734
233	642	730
234	644	726
235	645	722
236	647	718
237	649	714
238	651	711
239	655	710
240	660	709
241	662	706
242	664	702
243	665	698
244	667	694
245	669	691
246	671	688
247	674	685
248	676	681
249	677	677
250	679	674
251	683	672
252	685	669
253	688	666
254	689	662
255	691	658
256	693	655
257	694	651
258	696	647
259	702	648
260	703	644
261	705	640
262	706	636
263	708	633
264	710	629
265	712	626
266	714	623
267	716	619
268	717	616
269	719	612
270	721	609
