mg_HomeTeam,mg_AwayTeam,Div,Date,Time,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,mg_HS,mg_AS,mg_HF,mg_AF,mg_HC,mg_AC,mg_RollingAvg_FTHG,mg_RollingAvg_FTAG,mg_RollingAvg_TotalShots,mg_RollingAvg_TotalCorners,mg_RollingAvg_HomeHST,mg_RollingAvg_AwayAST,mg_HomeTeam_Form,mg_AwayTeam_Form,mg_HomeWinProb,mg_DrawProb,mg_AwayWinProb
Genoa,Udinese,I1,04/04/2025,19:45,1,0,H,0,0,D,13,5,7,2,16,14,1,2,2,2,0,0,2.45,2.88,3.4,11.8,10.4,12.2,12.4,5.0,5.8,1.6,1.0,22.200000000000003,10.8,3.6,3.8,3.0,0.0,86.86,8.02,5.12
Monza,Como,I1,05/04/2025,14:00,1,3,A,1,2,A,8,17,4,7,19,21,2,2,2,1,0,0,5.0,3.8,1.7,9.6,11.6,14.4,16.4,3.8,3.4,0.6,1.0,21.2,7.199999999999999,2.8,3.6,1.0,1.0,10.83,79.14,10.03
Parma,Inter,I1,05/04/2025,17:00,2,2,D,0,2,A,8,20,4,4,9,7,2,4,2,3,0,0,6.5,4.5,1.48,11.8,12.8,12.4,11.6,3.8,6.6,1.2,0.8,24.6,10.4,4.6,3.2,2.0,6.0,10.23,36.97,52.8
Milan,Fiorentina,I1,05/04/2025,19:45,2,2,D,1,2,A,19,15,6,8,12,12,7,4,4,3,0,0,1.9,3.5,4.2,13.2,8.0,13.0,9.8,5.6,2.4,1.6,1.0,21.2,8.0,3.8,2.4,3.0,6.0,25.75,15.41,58.84
Lecce,Venezia,I1,06/04/2025,11:30,1,1,D,0,0,D,23,13,4,3,10,14,8,3,2,4,0,0,2.3,3.1,3.4,12.2,9.4,12.2,13.6,6.4,4.0,0.4,0.8,21.6,10.4,2.6,3.2,0.0,1.0,15.95,55.68,28.36
Empoli,Cagliari,I1,06/04/2025,14:00,0,0,D,0,0,D,7,7,1,1,9,15,2,3,0,4,0,0,2.45,3.0,3.1,8.2,5.6,13.8,13.6,3.4,2.0,0.4,0.4,13.8,5.4,1.6,1.8,1.0,3.0,19.17,42.56,38.27
Torino,Verona,I1,06/04/2025,14:00,1,1,D,0,0,D,7,13,3,1,9,19,1,5,1,1,1,0,1.8,3.2,5.25,12.2,10.4,12.6,15.8,5.6,4.0,1.4,0.6,22.6,9.6,3.4,3.0,4.0,4.0,19.43,69.4,11.17
Atalanta,Lazio,I1,06/04/2025,17:00,0,1,A,0,0,D,10,8,2,3,6,6,11,4,1,2,0,0,1.7,3.8,5.0,16.0,12.4,10.8,10.2,4.8,5.0,0.6,1.4,28.4,9.8,4.8,4.8,0.0,1.0,20.08,47.51,32.41
Roma,Juventus,I1,06/04/2025,19:45,1,1,D,0,1,A,11,11,4,7,11,15,4,4,1,1,0,0,2.5,3.1,3.0,15.0,11.0,7.4,13.0,4.0,3.0,2.2,1.0,26.0,7.0,4.0,4.6,6.0,3.0,88.51,5.12,6.37
Bologna,Napoli,I1,07/04/2025,19:45,1,1,D,0,1,A,12,6,4,2,11,18,8,3,1,3,0,0,2.9,3.0,2.7,16.0,9.0,13.8,12.6,5.4,3.8,2.8,1.4,25.0,9.2,5.4,3.8,6.0,4.0,30.36,53.58,16.05
